rachel|  hi!
monica| hey!
phoebe| hey!
rachel| so what’s the final head count on my baby shower?
phoebe| about twenty, a couple people from work who had something else to do. 
monica| also both of your sisters called and neither can make it.
rachel| what?! you mean they’re not coming to a social event where there’s no men and there’s no booze?! that’s shocking! i don’t care, as long as my mom’s here.
monica| oh my god, your mother!
rachel| what?! my mom’s not gonna be here?!
monica| well, given that we forgot to invite her it would be an awfully big coincidence if she was.
rachel| my god!
monica| well it wasn’t my fault, phoebe was in charge of the invitations!
phoebe| well i don’t, i don’t have a mother so often i forget that other people…
monica|  oh give it a rest!
rachel| so my mother is not coming to my baby shower?!
phoebe| no.  neither is mine.
monica| okay, y’know what? don’t worry, okay? we’ll take care of it. we’ll call her. just go home and get ready.
rachel| please, make sure she comes. it’s really important to me, i mean it’s my mom!
phoebe| i know. i know, what’s her number?
rachel| i don’t know.
monica| go! i have it in my book. go! (rachel leaves and monica calls mrs. green.)  wait a minute! if you’re in charge of the invitations why am i the one who has to call her—hello mrs. green! hi, it’s monica geller.
mrs. green| oh, hello monica.
monica|  hi, umm i know this is last minute, but we’ve decided to throw an impromptu baby shower for rachel today.
mrs. green| i know, my daughter’s told me about it when they received their impromptu invitations a month ago.
monica| yeah, i’m sorry. i’m-i’m so sorry.
mrs. green| for what dear? for not inviting me or lying about it?
monica|  please! please! can you come? it’s today at four.
mrs. green| well all right. i’ll see you at four.
monica| thank you. 
phoebe| isn’t it at three?
monica| son of a bitch!  opening credits  
chandler| hey joe! you wanna shoot some hoops?
joey| oh no, i can’t go. i’m practicing; i got an audition to be the host of a new game show.
ross| oh cool!
chandler| that’s great.
joey| yeah-yeah, and if i get it by day i’ll  dr. drake remoray, but by night i’ll be  joey trrrribbiani!
chandler| you’ll be perfect for this! that’s already your name!
joey| but the audition’s in a couple hours and i don’t even understand the game.
ross| well do you want some help?
joey| oh really? that’d be great! you guys can be the contestants!
ross| awesome!
chandler| okay, i guess we can lose to junior high girls some other time.
joey|  all right! let’s play bamboozled!
chandler| bamboozled?
joey| yeah, isn’t that a cool name?
ross|  yeah!
chandler|  no!
joey| all right. uhh, okay. our first contestant is ross geller. why don’t you tell us a little something about you ross?
ross| well uh, i-i’m a paleontologist. umm, i-i live in new york. i have a son ben. uh, hi ben!  and uh…
joey| i said a little bit ross. now, how about you chandler?
chandler| well joey, i’m a headhunter. i hook up out of work soviet scientists with rogue third-world nations. hi rasputin! 
joey| excellent! let’s play bamboozled! chandler, you’ll go first. what is the capital of columbia?
chandler| bogota.
joey| it’s ba-go-ta, but close enough. now, you can either pass your turn to ross or pick a wicked wango card.
chandler| what does a wicked wango card do?
joey| i should know that. let’s see, just one moment please. umm, here we are, a wicked wango card determines whether you go higher or lower.
chandler| higher or lower than what?
joey| this is embarrassing. 
chandler|  can you believe how lame this is?
ross| i’m sorry, i don’t believe contestants are allowed to talk to each other.  
phoebe| oh, i told the stripper to be here at five. that’s good right?
monica| you ordered a stripper for the shower?! that is totally inappropriate!
phoebe| what? he’s gonna be dressed as a baby!  oh hi mrs. green!
monica| hi!
phoebe| i’m so glad you could make it.
monica| yes, thank you so much. and again, we’re so sorry. we could not feel worse about it.
mrs. green| try. there’s my little girl. 
monica| she’s still mad.
phoebe| yeah i know. isn’t it great? one less person we have to make small talk with.
monica| phoebe, sandra’s mad at you too. it-it doesn’t bother you?
phoebe| no look, we’ve apologized twice! i can’t do anymore than that. i know you hate it when people are mad at you but you just have to be okay with it.
monica| okay. i can do that.  i gotta go powder my ass. 
mrs. green| look at that face! just like when you were in high school! if i didn’t know better i’d say you were a cheerleader in trouble. come on, let’s get some tea.
rachel| okay. 
mrs. green| oh my look at that. only three weeks to go, now have you picked your nanny yet? now i don’t want you to use your housekeeper ‘cause it would just split her focus.
rachel| oh well actually gonna use a nanny and uh, i don’t even have a housekeeper.
mrs. green| it’s like you’re a cave person. rachel, you must get a nanny. you don’t know how overwhelming this is going to be. i mean when you were a baby i had full time help, i had mrs. kay.
rachel| mrs. kay! oh yeah, she was sweet. she taught me spanish. i actually think i remember some of it, tu madre es loca. (i think that’s your mother’s crazy.)
mrs. green| such a sweet woman.
rachel| well, however great she was i just can’t afford that.
mrs. green| oh rachel!
rachel| what?
mrs. green| i just had the greatest idea! i’m gonna come live with you!
rachel| wh-wh-what? what?
mrs. green| oh, i’m so happy i’m gonna do this for my little girl. aw, look at you. you have tears in your eyes.
rachel| yes. yes i do. 
joey| all right ross you’re in the lead, would you like to take another question or spin the wheel of mayhem?
ross| the wheel has not been my friend tonight joey. uh, i’ll take another question. 
joey| okay, this is gonna be tough. hold your breath.
ross| it’s okay, i’m ready.
joey| no dude, you gotta hold your breath until you’re ready to answer the question.
chandler| this is ridiculous, he’s not gonna hold his breath… (ross cuts him off by taking a deep breath and holding it.)
joey| okay, what do you have a fear of if you suffer from this phobia, tris…holy cow, that’s a big word. trisc… seriously look at this thing. chandler, how do you say that?
chandler| let me see that.
joey| this one right here. 
chandler| triscadecaphobia.
ross|  the fear of triscuts! 
joey| no! no, fear of the number 13.
chandler| fear of triscuts?
ross| it’s possible, they have really sharp edges.
joey| all right chandler, you’re up.
ross| wait a minute, i-i believe i’m entitled to use my angel pass for a free turn?
chandler| this game makes no sense!
ross| y’know what? you’re just upset because you’re losing.
chandler| oh come on ross, i think we’re all losers here.
joey| all right. chandler, you can either spin the wheel or pick a google card.
chandler| let me think. let me think—oh! i don’t care.
joey| you-you must choose mr. bing.
chandler| either, it makes no difference.
joey| choose, you jackass!
chandler| i’ll take a card.
joey| okay, you picked the gimmie card! you get all of ross’s points!
ross| what?!
chandler| this game is kinda fun.
ross|  you don’t think it’s a little crazy that you get all my points just ‘cause you…
chandler| i don’t think the contestants are supposed to speak to each other.  
rachel| why did you invite my mother?!
monica| what?
rachel| she wants to move in with me and ross to help take care of the baby.
phoebe| for how long?
rachel| eight weeks. i mean i love my mother, but my god, a long lunch with her is taxing.
monica| i personally would be honored if she wanted to live with me.
phoebe| she can’t hear you.
rachel| what? you guys, come on! what am i going to do?
phoebe| well, if you don’t want your mother to move in with you, just tell her.
rachel| you’re right. you’re right. i mean i’m about to have a baby, i can tell my mother that i don’t want her to just be sleeping on my couch! oh my god! she’s gonna want to sleep in my bed with me. this cannot happen!
monica| that’s right. that is right, you go over there and tell her you don’t want her to live with you. do not take no for an answer!
rachel| okay. 
monica|  this is great! now she’s gonna be mad at rachel! y’know what? and i’m just gonna swoop in there and be like the daughter she never had.
phoebe| i have new respect for chandler. all right everybody! it’s time to open the presents!
monica| yes! yes! and i think that the first gift that rachel opens should be from the grandmother of the baby, because you’re the most important person in this room. and in the world!
mrs. green| well uh, i don’t have a gift because i wasn’t invited until the last minute, but thank you so much for bringing that to everyone’s attention.
phoebe| how about you less important people, let’s open your presents! 
rachel| mom that’s okay that you didn’t get you a gift!
mrs. green| well, i kinda did. me. eight weeks of me.
rachel| oh yeah. okay, see mom, the truth is i can do this on my own.
mrs. green| sweetheart i know you’re gonna be terrific mom, i just think you need a little help, especially at the beginning.
rachel| but mom, i really know what i’m doing. i can handle this.
mrs. green| really? remember twinkles?
rachel| he was a hamster! i am not going to vacuum up my baby!
phoebe| okay, come on rach it’s present time! y’know you’re the glue that’s holding this whole party together. it’s kinda falling apart here.
