jo lynn| this kitty is mittens and this one is fitzhugh, and this little guy    in the cat condo is jinkies.
chandler| yep.  that's a lot of cats jo lynn.  single are ya? 
chandler| chandler bing.
joey| hey.  how come you're answering your own phone?  where's your crazy assistant? 
chandler| what's up joe?
joey| okay, what have we always wanted to do together?
chandler| braid each other's hair and ride horseback on the beach?
joey| no, no, no.  when you get home tomorrow night, you and i are going to    be at the wizzards-knicks game . . .  courtside!
chandler| courtside?  oh my god.
joey| yeah.  maybe michael jordon will dive for the ball and break my jaw with    his knee.
chandler| that's so cool.  i'll let monica know. (chandler hangs up and calls monica who is reading a book on their sofa as    the phone rings.)
monica| hello?
chandler| joey just called.  he's got courtside knicks tickets for him and    me tomorrow night.
monica| really?  but tomorrow night is the only night i get off from the restaurant.     if you go to the game, we won't have a night together for another week.
chandler| but hey, it's courtside.  the cheerleaders are going to be right    in fr. . .   that's not the way to convince you. 
monica|" chandler look, i don't want to be one of those wives who says, ""you    can't go to the game.  you have to spend time with me.""  so, if you could just    realize it on your own . . . "
chandler| i know.  you're right.  i want to see you too.  i've just got to    figure out a way to tell joey, you know?  he's really looking forward to this.
monica| tell him that you haven't seen your wife in a long time.  tell him    that having a long-distance relationship is really difficult.  tell him that    what little time we have is precious.
chandler| yeah, ah, ah . . .  i'll think of something.   
ross| wow!    wow, you look . . . uh . . .   it's just, ah . . .   that    dress . . . uh . . .  
rachel| well, i hope the ends of these sentences are good.
ross| well, well, they're good.  it's been a while since i've seen you like    this.  you, you clean up good.
rachel| oh well, well thank you.    okay,    stop.  stop looking at me like that.  the last time that happened, (points    to ross) that happened.  
ross| oh right, right.  (they pause and exchange a glance. then, ross looks    away.)  so, are you . . . ah . . . you excited about your, your first night    away from emma?
rachel| yeah, yeah.  phoebe and i are going to have so much fun.  and thank    you for watching the baby, by the way.
ross| oh, it's fine.  actually, i, i invited mike over.
rachel| phoebe's mike?
ross| yeah.
rachel| i didn't know you guys hung out.
ross| we don't.  but i thought it would be nice to get to know him.  you know,    maybe have a little dinner, drinks, conversation.
rachel| oh that's so cute:  ross and mike's first date.  is that going to be    awkward?  i mean, what are you guys going to talk about?
ross| i don't know.  but, you know, we, we have a lot in common, you know.     he plays piano; i played keyboards in college.  he's been divorced; i have some    experience in that area. 
rachel| yeah. 
phoebe| hi
rachel| hey.
phoebe|  oooh.  girl's night out indeed.
rachel|  ok.  so now, i think emma is probably down for the night,    but if you need anything ross . . . 
ross| rach, rach, we'll be fine, all right?  you go have fun.
rachel| okay.  you too.  and i hope you score.   bye.
mike| bye.
ross| so . . .  welcome.
mike|  i got beer.
ross| i got bottled breast milk.
mike| eh, why don't we start with the beer?
ross| okay.    so, um, phoebe tells me you, ah, you play piano.
mike| yeah.
ross| you know, i, i used to, ah, play keyboards in college.
mike| ah?    do you have one here?
ross| no.
mike| okay.   (they clink beer bottles, and drink.  then, they stare uncomfortably at their    bottles.)
ross| um . . . ah . . . you know, i'm divorced.  um, phoebe, ah . . . phoebe    said you . . . you've been divorced?
mike| yeah.    yeah, i'm sorry.  i don't . . . i don't really like to    talk about it.
ross|  something else.  (they    pause.  they drink.)
mike|  so, you're a paleontologist, right?
ross| yeah.
mike| my cousin's a paleontologist.
ross| ah?    well, he and i would probably have    a lot to talk about.    she pours two glasses of wine as chandler enters with a carry-on suitcase.     he sets the case by the door.) 
monica| hi.
chandler| hey.
monica| welcome home.
chandler| (hangs his jacket over the suitcase, locks the door, then turns to    monica.)  oh well, look at you.
monica| yeah.  what do you think?
chandler| well, it looks great.  it's just that . . . well, i'm wearing the    same thing underneath.  so . . .
monica| oh.
chandler| see what i mean . . .  
joey| hey!  how come the door's locked?
monica| just a second.
chandler|  no, no, no, no, no.  joey can't know that i'm here.
monica| why not?
chandler| because i didn't know how to tell him that i couldn't go to the knicks    game.  so, i just told him that i had to stay in tulsa.
monica| so, you lied to him?
chandler| achhh.  it's always better to lie than to have the complicated discussion.       except with you.
joey| hey!  open the door.  what's going on?   
joey| what are you . ..    why are you dressed    like that?
monica| oh, because, um . . .  well, chandler's going to be home in a couple    of days.  so, i thought i would, you know, practice the art of seduction.
joey| oh, i thought i heard a man's voice before.
monica|" oh i was just doing chandler's side of the conversation.  you know,    like, ""hi, how do i look?""   ""really sexy.  could i be any more    turned on?"""
joey| okay.       whoa, whoa.  why are there two glasses of wine out?
monica| because. . .  one of them is for you. (monica turns to get the wine.  chandler peeps through the peephole.  joey,    seeing something, peeps back.  chandler ducks.  monica returns with two glasses    of wine.  she gives one to joey.)
monica| cheers.    okay, buh-bye.  (she    closes the door.)
chandler| you know, it's funny.  i've been, ah, practicing the art of seduction    myself.  (he raises his hands in front of himself, sticks out his behind, and    wiggles it.)  hi ya.
monica| you might want to keep practicing.
chandler| yah. 
chandler| it's joey.  (he answers it, holding it out so that monica can hear    too.)  hey joe.
joey| dude, come home!
chandler| what? why?
joey| come . . .  home.
chandler| look i, i can't.  what's going on?
joey| i don't know how to tell you this but, uh . . . i think monica's cheatin'    on ya.  i told you shouldn't have married someone so much hotter than you. 
joey| all right look.    if you can't come home and    deal with this, then i'm gonna.
chandler| no!
joey|  i just heard him!
chandler|  can you . . . hear him . . . now?
joey|  all right, i'm going in.
chandler| no! wait!
joey| i heard him again!
chandler|  all right, look.  just stay there.  i'm    coming home.
joey| okay.  great.  i'll see you when you get here.  i'm gonna wait out in    the hall in case the dude comes out.
chandler| is that really necessary?
joey| absolutely.  you'd do it for me.  not that you ever have to because i    know how to keep my women satisfied.    bottle.  ross stares off to the side.)
ross| shouldn't the pizza be here by now?  i mean, they said thirty minutes    or less.  well, how long has it been?
mike|   and now twelve.     so, do you like the beer?
ross| i do.  i do.  although, it's actually a lager.
mike| huh.    what's the difference between beer and lager?
ross| i don't know.  we could look it up.
mike|  things are about to get wild.  
phoebe| oh god.  remember the girls' nights we used to have sitting around    talking about you and ross?
rachel| oh god.  it seems like forever ago.
phoebe| i know.     so, what's going on with you and ross?
rachel| well, um . . . i don't know.  i mean, for a long time nothing.  but    you know, actually right before you picked me up, ross and i had a . . . ah    . . . little thing.
