jennifer| previously on friends...
chandler| how did the job stuff go?
rachel| he offered me one.
ross|  you know what? this calls for a bottle of israels finest.
rachel| the job is in paris.   fade out
rachel| oh, god! please, somebody  say something.
ross| so if you take this job you'll be moving to paris?
chandler| or facing a bitch of a commute.
rachel| i know, it's huge, and it's scary, and it's... really far, far away    from you guys, but this is such an incredible opportunity for me. and i've already    talked to them about our situation with emma, and they said they'll do whatever    we need to make us feel comfortable.
ross| okay.
rachel| i mean, i'll fly back and forth, they'll fly you out...    anything we want.
chandler| my boss said i might be getting a new lamp in my cubicle. (monica    looks at him and can't really place what he just said)
ross| all right, we'll work it out.
rachel| thank you! thank you!
ross| yeah, yeah!  you sure this is what you want?
rachel| i think it is. (ross looks very sad. phoebe    and joey enter.)
phoebe| ooh, what's going on?
rachel| i got a really incredible job offer.
joey| hey, great! all right!
phoebe| good for you!
rachel| it's in paris.
joey| what? no, no, no! no, no... no... no, no... no, too much is changing,    okay? first, phoebe getting married  congratulations! (pointing to    monica and chandler)... and then these two move into a stupid house in the stupid    suburbs...
monica| hey, this afternoon you said you'd be supportive...
joey| well, it comes and goes. i wouldn't trust it.
rachel| look, you guys... this is really, really important to me. and it means    a lot if you could try to get on board.
phoebe| of course we can. congratulations.     yay!  joey...
joey| no, no, no. my hugs are reserved for people staying in america.
rachel|  joey, it would mean so...
joey| hey! no! get your france-going-arms away from me. (he walks out, and    rachel follows him)
rachel| joey...
phoebe| you okay with this?
chandler| well, it makes me feel sad, but...
phoebe| talking to ross.
chandler| i see.
ross| well, rachel moving to another country? not being able to see her every    day. how can i be okay with this?
monica| i know, but what are we gonna do? she really needs this job.
ross| do you think if the ralph lauren people offered her her old job back,    she would take it?
monica| how is that gonna happen?
chandler| is this the best way to use one of your three magic wishes?
ross| i don't know. i could talk to her boss. yeah! i met him at that christmas    party. we really hit it off.
monica| you mean the guy who kept calling you ron?
ross| i didn't say we were brothers.    opening credits   
monica| hey phoebe. hey, tell me what you think. all right. the house next    door to the one that we're buying in westchester? just went on the market. i wanna    take a look at it, but chandler doesn't.
