jennifer aniston | previously on friends.
monica| erica, are you okay?
erica| yeah, you know, maybe i ate too much. i keep getting these    stomach-aches. they come and go like every few minutes.
monica| oh my god!
chandler| relax! we'll just get her some antacids.
monica| she doesn't have a stomach-ache. she's in labor!
chandler| oh my god!    
rachel| so if you think i didn't say goodbye to you because you don't    mean as much to me as everybody else, you're wrong. it's because you    mean more to me.
ross| rach!
rachel| what?! (he walks over and kisses her. they pull back, rachel looks at him,  and they kiss again.)    
ross| hey.
rachel| shh.. go back to sleep. i have to go home.
ross| oh. this was amazing.
rachel| it really was. you've learned some new moves!
ross|" yeah, well, this guy at work gave me ""sex for dummies"" as a    joke."
rachel| ah.
ross| who's laughing now?
rachel| i know!    opening credits  
monica| breathe, breathe, breathe... good.
chandler| next time, can i say breathe?
monica| no, last time you said it like dracula, and it scared her! can    i get you anything? you want some more ice chips?
erica| no, i'm okay.
monica| alright, i'll be right back.
chandler| where are you going?
monica| to use the bathroom.
chandler| you can't leave me alone with her.
monica| what?
chandler| this is exactly the kind of social situation that i am not    comfortable with!
monica| what kind of social situation are you comfortable with?
chandler| it's just that we've never spent any time, you know, alone    together.
monica| you'll be fine. nah, you won't, but i'll be back in two    minutes.
chandler| okay. (monica leaves, and chandler closes the door. erica just looks at    him.)
chandler| so, ah... any plans for the summer?
erica| i don't know. maybe church-camp?
chandler| hah. may not wanna mention this. so, you ever wonder which    is worse, you know; going through labor or getting kicked in the nuts?
erica| what?
chandler| well, it's just interesting. you know, because no one will    ever know, because no one can experience both. 
chandler| one of life's great, unanswerable questions. i mean, who    knows? maybe there's something even more painful than those things?  like this.    
phoebe| morning.
joey| hey!
phoebe| what's that?
joey| it's my house-warming present for monica and chandler.
phoebe| it's a baby chick and duck!
joey| uh-huh. and i named them chick jr. and duck jr.
phoebe| i did not see that coming.
joey| yeah, i figure they'll love it at the new house, you know? it    has that big backyard. and then, when they get old, they can go to    that special farm that chandler took the other chick and duck to.
phoebe| yes.
joey| yeah. it's a shame people can't visit there.
phoebe| that is the rule, though. 
phoebe| guess what? you're almost an uncle!
ross| what?
joey| yeah, erica went into labor last night. monica and chandler are    at the hospital right now!
ross| oh my god!
phoebe| yeah, and i have a definite feeling it's gonna be a girl.
ross| phoebe, you were sure ben was gonna be a girl.
phoebe| have you seen him throw a ball?
ross| is rachel here?
joey| uh, i think she's still asleep. hey, hey, how did it go with you    guys last night? she seemed pretty pissed at you.
ross| uh, we, y'know, we worked things out.
phoebe| what's that smile? did something happen with you two?
ross| hey, i'm not one to kiss and tell, but i'm also not one to have    sex and shut up. we totally did it!
joey| oh my god. you and rachel?
ross| i know, it's pretty great.
joey| so what does that mean? are you guys getting back together?
ross| oh, i.. i don't know. we didn't really get to talk.
phoebe| but do you wanna get back together?
ross| i don't know. it was incredible. i mean, it just felt so right.    when i was holding her, i mean, i never wanted to let her go. you know    what? yeah, i do. i wanna be together.
phoebe|  yay!
ross| shhh!
phoebe|  yay!
joey| so, so is she still going to paris?
ross| wow, i hadn't thought of that. i hope not.
phoebe|" oh, this is like the best day ever. ever! you guys might get    back together, monica and chandler are getting their baby, there are    chicks and ducks in the world again! oh, i feel like i'm in a musical!     ""daa - raa... when the sun comes up, bright and beaming! and    the moon comes..."" "
rachel| morning!
phoebe| guess we'll never know how it ends.
joey| okay.
